,Anomaly Detection,Defect Classification,Defect Localization,Defect Description,Defect Analysis,Object Classification,Object Analysis,Recall,Precision,F1,Overkill,Miss,Average
MVTec-AD,91.15358978406918,84.89626556016597,72.42246437552389,79.22506183017313,90.62240663900415,99.35483870967742,92.59530791788856,87.68352365415987,97.72727272727273,92.43336199484092,5.376344086021501,12.316476345840133,87.18141925950033
VisA,98.71822329920838,46.60550458715596,54.512306289881494,61.00917431192661,73.65945437441204,95.59322033898306,85.16566265060241,97.99635701275045,99.53746530989824,98.76089949518128,0.5599104143337086,2.003642987249543,73.60907797888142
Average,94.93590654163879,65.75088507366097,63.46738533270269,70.11711807104987,82.14093050670809,97.47402952433023,88.88048528424548,92.83994033345516,98.63236901858548,95.5971307450111,2.968127250177605,7.160059666544838,80.39524861919088
